,site_area,structure_type,water_consumption,recycling_rate,utilization_rate,air_quality_index,issue_resolution_time,resident_count,electricity_cost
46,1275,2,1287.0,68,83,70,42,0,2252.0
47,4514,3,9306.0,46,31,103,30,21,3299.0
48,534,1,1000.0,24,58,13,6,29,1241.0
49,3652,4,5709.0,39,45,131,67,0,4268.0
50,2455,2,5749.0,83,88,173,54,0,3140.0
51,2085,2,2607.0,21,40,32,35,0,2148.0
52,4443,3,8658.0,90,53,36,35,201,3047.0
53,3573,4,3863.0,39,61,106,5,0,3858.0
54,1521,1,1730.0,10,83,29,6,129,2425.0
55,3961,3,4512.0,45,85,154,23,192,3256.0
56,3113,2,3321.0,30,100,119,59,0,3496.0
57,4343,1,6055.0,41,72,12,51,277,4550.0
58,2000,3,2113.0,72,82,198,62,93,2049.0
59,661,2,1000.0,22,30,81,32,0,885.0
60,4797,2,4340.0,46,90,37,1,0,4504.0
61,2481,1,1000.0,53,63,179,49,31,2166.0
62,1495,2,3160.0,30,90,72,28,0,2400.0
63,3842,2,7838.0,27,90,86,71,0,4117.0
64,4298,2,7984.0,55,37,94,37,0,3715.0
65,1775,1,2097.0,56,83,65,29,160,2641.0
66,1516,4,2321.0,35,82,167,19,0,2425.0
67,837,2,1106.0,14,49,165,19,0,1640.0
68,1378,3,1535.0,14,75,40,51,57,1755.0
69,1576,2,1000.0,40,60,132,15,0,1807.0
70,4493,1,3928.0,37,55,191,24,310,4933.0
71,879,2,1000.0,86,92,55,61,0,1608.0
72,992,2,1441.0,84,49,48,53,0,1296.0
73,2562,2,4953.0,74,51,186,72,0,2573.0
74,4384,2,5398.0,22,86,95,59,0,4154.0
75,564,2,1000.0,27,86,166,7,0,1417.0
76,3068,1,1426.0,33,55,54,68,35,2673.0
77,2527,2,2490.0,38,46,191,34,0,2303.0
78,3195,1,5637.0,37,56,2,7,118,2959.0
79,1995,1,1846.0,54,96,135,54,120,2731.0
80,891,4,1863.0,20,85,72,67,0,2385.0
81,4974,2,3787.0,60,53,15,12,0,4086.0
82,4061,2,2336.0,68,54,25,58,0,3711.0
83,2778,2,2552.0,22,39,159,52,0,2767.0
84,3599,4,4654.0,56,65,81,56,0,4051.0
85,700,2,1688.0,52,74,7,3,0,1213.0
86,3604,3,5497.0,33,46,102,13,116,2597.0
87,2954,1,1937.0,57,87,116,63,293,3948.0
88,4145,4,6611.0,72,52,59,5,0,4215.0
89,1304,3,1973.0,26,37,11,25,64,1447.0
90,3231,3,1572.0,78,79,186,72,241,2287.0
91,3273,1,3711.0,63,45,186,52,82,2863.0
92,2070,1,1768.0,23,72,161,5,206,3214.0
93,3190,1,4867.0,24,75,120,59,11,2636.0
94,4340,1,7475.0,82,78,157,25,115,3951.0
95,1528,3,3140.0,87,44,43,14,37,1504.0
96,1002,1,1000.0,19,78,165,52,86,1320.0
97,4993,1,5371.0,31,50,152,25,472,5710.0
98,1370,1,1122.0,22,35,151,72,62,1284.0
99,4988,1,4742.0,90,84,96,56,151,4589.0
100,706,1,1418.0,74,44,188,37,52,1059.0
101,1984,3,1000.0,23,40,136,70,183,1984.0
102,1363,2,2417.0,53,68,83,6,0,1564.0
103,3290,1,4286.0,48,80,47,25,240,3975.0
104,1063,2,1573.0,44,66,51,20,0,1329.0
105,4691,2,4206.0,74,78,197,23,0,4297.0
106,2257,1,4727.0,36,86,191,57,134,3067.0
107,2178,2,3756.0,54,94,35,53,0,2727.0
108,3742,3,6825.0,66,46,104,59,343,3107.0
109,1559,3,2223.0,31,92,147,61,76,2261.0
110,2222,3,3799.0,43,43,103,55,211,1700.0
111,3814,1,4847.0,18,67,177,20,207,3973.0
112,3657,4,1988.0,59,54,11,3,0,3555.0
113,3125,3,4209.0,63,66,134,65,44,2289.0
114,3229,4,5886.0,67,85,167,37,0,4110.0
115,2097,1,4271.0,71,36,41,35,185,2903.0
116,3560,4,4777.0,47,40,92,16,0,3380.0
117,3193,3,2755.0,36,64,85,4,285,2504.0
118,4127,3,6270.0,73,65,66,3,122,3085.0
119,1863,1,3453.0,12,99,177,17,65,2381.0
120,2481,3,2163.0,20,81,168,44,117,2440.0
121,2163,4,2190.0,33,98,151,63,0,3606.0
122,2029,2,2078.0,38,71,196,42,0,2371.0
123,2538,2,2044.0,78,100,12,17,0,2811.0
124,3802,4,1000.0,17,44,117,24,0,3792.0
125,2737,2,2959.0,28,50,161,37,0,2522.0
126,1806,2,2543.0,77,30,102,2,0,1702.0
127,4529,2,2512.0,78,97,130,14,0,4180.0
128,3175,4,3033.0,57,40,95,10,0,3334.0
129,1782,1,2930.0,49,39,200,15,12,1446.0
130,1209,2,2622.0,76,74,130,37,0,1649.0
131,4913,2,10470.0,25,85,151,58,0,4870.0
132,4248,3,4042.0,73,48,34,46,333,3096.0
133,1163,2,2727.0,17,71,19,53,0,1483.0
134,2498,4,1447.0,14,70,104,56,0,3625.0
135,3945,4,6161.0,81,49,171,13,0,4383.0
136,4243,1,6592.0,34,56,75,35,404,4792.0
137,1995,2,1626.0,62,41,47,36,0,1806.0
138,3804,1,5156.0,58,93,42,34,71,3151.0
139,4263,1,2464.0,81,67,80,24,370,4911.0
140,2353,2,3936.0,30,95,67,53,0,3159.0
141,1791,4,2329.0,60,87,199,27,0,2994.0
142,4081,3,6616.0,55,40,198,12,70,3083.0
143,3957,1,2903.0,18,59,182,15,195,3828.0
144,2136,1,1000.0,73,93,153,3,130,2902.0
145,4196,2,8242.0,86,77,158,28,0,4227.0
146,3499,2,5718.0,32,69,181,9,0,3505.0
147,3652,1,6979.0,69,97,183,39,38,3590.0
148,1198,3,1299.0,68,50,55,30,47,1152.0
149,2660,4,1748.0,17,34,126,57,0,3177.0
150,4597,2,6187.0,73,65,52,23,0,4113.0
151,1354,3,1098.0,63,36,199,30,93,1302.0
152,3974,1,3648.0,24,89,188,64,260,4416.0
153,2207,3,4306.0,61,85,33,16,97,1842.0
154,3277,2,2960.0,60,60,45,36,0,3148.0
155,2233,1,1284.0,13,54,83,30,96,1928.0
156,4010,4,4207.0,43,85,73,46,0,5209.0
157,702,2,1000.0,33,63,49,20,0,1132.0
158,3755,3,5723.0,30,73,196,56,287,3058.0
159,4718,1,6321.0,11,36,10,37,306,4571.0
160,4996,1,6806.0,16,80,114,62,221,4936.0
161,1266,1,1887.0,65,54,85,65,119,2038.0
162,4889,2,9238.0,84,57,74,29,0,4297.0
163,2827,2,5046.0,85,71,145,43,0,2504.0
164,3431,1,5258.0,77,56,158,36,328,4032.0
165,697,2,1000.0,44,66,61,17,0,1121.0
166,2430,2,3104.0,35,84,22,54,0,2836.0
167,4082,3,5882.0,27,67,103,17,134,3100.0
168,1108,2,1741.0,73,85,180,32,0,1944.0
169,3772,4,7663.0,65,63,61,16,0,4015.0
170,1647,2,2238.0,89,58,73,51,0,1716.0
171,4782,2,2490.0,64,77,16,59,0,4216.0
172,3897,1,7461.0,21,75,125,23,377,5349.0
173,3011,1,3143.0,46,66,40,16,187,3808.0
174,2294,1,4287.0,61,32,108,32,114,2039.0
175,1159,2,1000.0,28,79,7,66,0,1977.0
176,3311,1,3578.0,24,50,158,70,251,3802.0
177,1869,1,1587.0,61,77,48,62,117,2567.0
178,2486,3,1588.0,86,87,111,30,110,1957.0
179,646,1,1000.0,35,60,184,36,55,1648.0
180,3719,1,7743.0,54,36,175,6,264,3528.0
181,3411,1,1958.0,30,86,180,45,294,4020.0
182,2234,3,1000.0,90,65,189,33,76,1834.0
183,2343,1,2088.0,62,53,105,5,112,2248.0
184,988,2,1000.0,38,53,177,56,0,1439.0
185,3476,2,6971.0,57,85,54,28,0,3521.0
186,2459,2,2148.0,28,90,136,7,0,2711.0
187,2885,2,1000.0,63,99,31,59,0,3093.0
188,3419,3,6406.0,87,57,86,19,230,2549.0
189,2302,1,3992.0,11,61,95,62,89,2596.0
190,4561,1,3112.0,41,74,56,43,159,4223.0
191,3869,1,6661.0,71,98,99,50,350,4925.0
192,762,1,1000.0,16,97,4,53,18,1853.0
193,1123,1,2486.0,77,47,118,38,96,1704.0
194,1516,1,2107.0,31,31,111,17,137,2169.0
195,4143,2,7459.0,38,32,192,27,0,3637.0
196,2549,2,1470.0,12,58,177,37,0,2415.0
197,4223,1,4114.0,31,77,94,7,210,4183.0
198,3608,3,3343.0,62,94,62,38,301,3469.0
199,4590,1,6081.0,66,71,185,29,248,4361.0
200,2556,1,4054.0,19,35,184,51,237,3326.0
201,3670,2,4522.0,49,88,114,15,0,3749.0
202,2182,1,1000.0,29,48,136,16,14,1843.0
203,2755,1,3751.0,20,81,98,11,227,3320.0
204,1654,2,1615.0,17,90,25,33,0,2291.0
205,4999,4,9158.0,45,31,190,20,0,5071.0
206,3691,3,5386.0,34,52,193,29,13,2459.0
207,2196,1,3522.0,48,48,33,16,33,1946.0
208,4491,3,7384.0,71,99,80,17,434,3559.0
209,2148,3,3419.0,30,79,5,57,116,2051.0
210,1945,2,2953.0,28,90,61,37,0,2477.0
211,4699,3,3696.0,34,48,94,18,279,3281.0
212,4423,2,8848.0,14,51,74,71,0,4305.0
213,753,1,1776.0,21,32,168,49,21,843.0
214,3683,2,6481.0,34,34,53,11,0,3356.0
215,3057,2,6495.0,14,96,163,57,0,3597.0
216,598,2,1279.0,85,89,90,19,0,1247.0
217,2700,2,4086.0,36,68,83,70,0,2672.0
218,3461,4,6986.0,13,57,112,53,0,4283.0
219,4933,4,3642.0,54,30,83,10,0,4472.0
220,4277,3,5963.0,56,51,129,1,91,3139.0
221,3369,3,5022.0,37,74,100,1,309,2475.0
222,3734,4,3986.0,44,80,26,47,0,4848.0
223,4291,1,6706.0,25,80,17,27,146,4575.0
224,1456,1,2349.0,21,57,123,25,75,1989.0
225,4567,2,6943.0,89,59,10,10,0,4329.0
226,660,3,1443.0,84,37,171,36,60,755.0
227,4993,2,4231.0,52,70,3,46,0,4338.0
228,1800,3,2748.0,37,54,102,8,175,1846.0
229,4487,1,6184.0,90,88,82,62,105,4063.0
230,2027,1,1749.0,28,63,42,29,86,1938.0
231,1718,3,1334.0,84,68,38,53,66,1662.0
232,4996,1,8452.0,77,100,58,4,184,4556.0
233,3604,1,4605.0,83,75,152,49,225,3961.0
234,3235,1,5949.0,64,67,78,69,247,4143.0
235,1454,1,1301.0,45,62,83,42,92,2244.0
236,3946,3,3898.0,71,51,80,65,248,2832.0
237,1545,1,2042.0,48,56,54,34,117,2334.0
238,2193,2,2217.0,50,92,64,14,0,2484.0
239,3936,1,9212.0,69,56,92,53,75,3787.0
240,1062,3,1162.0,75,50,107,1,99,925.0
241,2985,1,5431.0,68,82,82,8,194,3381.0
242,3854,2,7968.0,49,64,93,18,0,3678.0
243,725,3,1479.0,28,76,152,5,61,1105.0
244,1459,1,1384.0,64,79,36,67,73,2145.0
245,3567,3,6405.0,55,39,121,22,225,2794.0
246,1315,2,1935.0,13,57,74,6,0,1626.0
247,3620,2,1654.0,71,66,81,27,0,3362.0
248,516,1,1000.0,34,70,53,37,36,978.0
249,1743,4,2882.0,72,90,72,35,0,2942.0
250,2705,3,1034.0,79,80,155,36,127,2629.0
251,3024,1,3925.0,22,37,90,61,38,2696.0
252,1569,1,1157.0,13,87,109,1,131,2192.0
253,3944,3,2372.0,11,90,51,48,376,3013.0
254,3065,2,1946.0,76,62,191,67,0,3698.0
255,1560,3,2418.0,39,48,37,39,81,1522.0
256,2827,2,4621.0,13,59,43,3,0,3118.0
257,3920,3,8736.0,57,43,86,26,254,3184.0
258,801,1,1048.0,52,65,61,69,23,1111.0
259,4776,1,8483.0,54,36,67,55,77,3791.0
260,1106,2,1457.0,22,63,165,3,0,1581.0
261,3670,4,5248.0,56,79,177,56,0,4876.0
262,1199,1,2622.0,37,61,60,28,52,2042.0
263,1639,2,2843.0,46,71,27,43,0,1887.0
264,690,2,1653.0,37,62,69,30,0,1931.0
265,2800,2,3814.0,36,43,96,18,0,2663.0
266,1480,3,2858.0,39,57,30,5,122,1565.0
267,3475,3,5969.0,15,68,184,61,38,2385.0
268,1684,1,1445.0,18,60,126,1,66,2093.0
269,3827,4,4867.0,15,53,137,64,0,3851.0
270,3894,3,3644.0,38,33,139,14,127,2490.0
271,627,3,1000.0,79,38,6,41,48,639.0
272,2565,2,3839.0,75,99,87,68,0,3175.0
273,2316,3,4322.0,62,53,155,53,42,2061.0
274,1069,1,1000.0,79,94,74,31,30,1812.0
275,2395,1,1684.0,14,46,19,59,178,2994.0
276,3233,3,1115.0,29,66,119,66,138,2294.0
277,4363,1,5183.0,21,79,64,37,420,5375.0
278,4514,1,7293.0,17,74,154,50,11,3408.0
279,3401,3,4977.0,67,49,143,66,329,2392.0
280,2186,3,4421.0,58,88,163,14,188,2632.0
281,3509,1,6046.0,73,88,69,15,135,3350.0
282,654,3,1000.0,59,40,137,25,63,672.0
283,3037,2,2487.0,48,84,43,8,0,3519.0
284,1909,2,2048.0,49,94,146,58,0,2493.0
285,4557,3,7337.0,40,87,89,56,244,3619.0
286,1284,2,1571.0,12,73,192,14,0,1899.0
287,3675,1,5247.0,81,43,73,42,83,2743.0
288,4841,1,5354.0,39,81,189,13,83,3810.0
289,3306,2,4357.0,38,63,32,19,0,3055.0
290,1037,2,1469.0,79,92,164,34,0,1999.0
291,2341,3,2102.0,65,56,112,46,167,2053.0
292,2955,3,4553.0,75,41,140,55,138,2094.0
293,1024,2,1156.0,72,67,101,64,0,1524.0
294,3450,3,1291.0,39,85,93,57,249,2917.0
295,4631,1,7413.0,62,94,87,72,166,4105.0
296,4615,1,4543.0,55,69,97,64,150,4157.0
297,2868,3,4383.0,18,50,36,5,241,2315.0
298,4347,1,6980.0,16,61,18,43,308,4568.0
299,4995,1,6001.0,72,41,65,17,50,3582.0
300,3201,2,4891.0,56,55,29,46,0,3089.0
301,1471,2,2236.0,53,65,159,33,0,2246.0
302,1666,3,2220.0,58,45,160,69,98,1449.0
303,3274,1,5231.0,88,63,167,15,195,3647.0
304,2482,1,3686.0,88,53,142,42,86,2158.0
305,1353,1,1081.0,71,68,197,15,23,1598.0
306,4646,2,9022.0,68,93,99,65,0,4908.0
307,4236,1,5108.0,87,58,107,63,50,3191.0
308,4269,2,7308.0,84,60,79,56,0,4245.0
309,1074,3,1614.0,84,92,84,43,76,1766.0
310,3761,4,5355.0,22,72,97,70,0,4552.0
311,1648,1,2333.0,39,48,103,34,15,1522.0
312,2215,2,2721.0,52,39,117,66,0,1598.0
313,4354,2,5295.0,60,85,37,69,0,4129.0
314,2991,4,4851.0,17,89,135,20,0,4281.0
315,3160,4,6285.0,46,72,75,14,0,3887.0
316,3624,1,2739.0,73,77,38,68,55,3166.0
317,3551,3,5388.0,48,69,59,41,214,2706.0
318,504,1,1000.0,17,63,187,59,10,891.0
319,1376,1,2307.0,71,30,108,50,133,2001.0
320,1491,1,2325.0,48,48,55,39,38,1344.0
321,4642,2,7015.0,23,30,17,30,0,3893.0
322,4864,2,4511.0,61,54,122,37,0,4317.0
323,4965,1,4619.0,66,97,175,47,215,4738.0
324,1135,2,1159.0,30,57,103,45,0,1848.0
325,2193,1,2771.0,32,74,148,57,213,3591.0
326,2182,2,2765.0,13,53,183,4,0,2120.0
327,619,1,1138.0,83,73,139,6,35,1116.0
328,1330,1,3054.0,52,31,5,15,67,1355.0
329,4175,2,3723.0,20,52,158,45,0,4008.0
330,1869,1,1000.0,28,91,97,60,96,2612.0
331,1240,2,1042.0,74,44,70,28,0,1527.0
332,616,1,1374.0,11,61,126,32,12,1426.0
333,3338,2,3339.0,58,33,60,48,0,2720.0
334,1650,1,2996.0,78,60,117,19,69,2039.0
335,2431,2,1637.0,43,88,67,31,0,2726.0
336,1512,3,1000.0,13,100,184,60,107,2091.0
337,2164,1,2331.0,48,30,60,44,32,1958.0
338,1581,2,2207.0,58,98,115,23,0,2212.0
339,1012,1,1688.0,12,43,111,27,71,1334.0
340,3349,2,4012.0,35,52,16,1,0,2830.0
341,1059,1,2420.0,50,100,156,22,19,2168.0
342,4172,2,3462.0,74,45,66,8,0,3510.0
343,3843,2,6187.0,25,38,58,69,0,3248.0
344,4570,4,8539.0,67,60,2,24,0,5242.0
345,1970,2,1845.0,44,90,109,33,0,2106.0
346,1080,2,1981.0,25,74,102,12,0,1335.0
347,2794,2,2103.0,42,36,154,4,0,2401.0
348,3647,4,3923.0,40,86,0,64,0,4382.0
349,4749,3,6293.0,31,93,78,60,13,3810.0
350,2179,1,1619.0,70,31,77,9,48,1322.0
351,4006,3,3981.0,73,35,131,42,122,2694.0
352,3244,2,4101.0,79,90,3,53,0,3660.0
353,3856,3,5648.0,44,63,123,60,353,2782.0
354,4545,3,8280.0,48,46,32,14,43,3067.0
355,1743,1,1635.0,12,55,10,51,129,2083.0
356,3618,3,3561.0,22,49,184,65,290,2741.0
357,2641,1,4029.0,23,70,153,27,189,3059.0
358,3559,1,3783.0,50,87,87,22,280,4036.0
359,3459,1,4884.0,17,83,110,22,277,4240.0
360,2765,3,3081.0,28,58,153,64,138,2360.0
361,2979,1,2005.0,23,77,181,24,151,3260.0
362,2135,1,2878.0,84,51,154,30,114,2256.0
363,2257,3,3459.0,59,100,101,40,40,2507.0
364,4952,1,6408.0,70,34,181,23,225,4374.0
365,2570,1,2793.0,45,81,1,10,62,2286.0
366,3349,1,2646.0,76,30,8,33,253,2831.0
367,3751,1,2947.0,86,74,71,72,115,3536.0
368,4230,2,3854.0,89,69,103,5,0,3765.0
369,2989,1,2734.0,54,93,115,27,180,3297.0
370,2131,4,4681.0,83,40,63,62,0,2936.0
371,3316,3,4162.0,81,81,114,25,155,3025.0
372,1515,1,1576.0,16,36,64,66,76,1979.0
373,1848,1,2142.0,31,80,20,20,68,2235.0
374,3587,2,3281.0,18,50,153,43,0,2687.0
375,3339,2,5232.0,69,68,142,67,0,3650.0
376,835,1,1000.0,51,73,170,58,32,1323.0
377,1395,1,1000.0,68,86,166,41,95,2068.0
378,4046,3,6432.0,49,70,15,64,311,3311.0
379,1351,1,1722.0,38,68,34,46,58,2209.0
380,2187,1,2389.0,64,49,22,60,160,2878.0
381,2431,3,1119.0,73,51,139,15,149,1842.0
382,4246,2,3774.0,51,58,183,27,0,3983.0
383,2927,1,2129.0,38,75,51,58,226,3332.0
384,2068,2,2071.0,30,97,18,24,0,2224.0
385,4500,1,7094.0,72,32,97,35,97,3672.0
386,3238,3,4650.0,72,34,189,23,68,2325.0
387,3998,2,5770.0,47,85,135,8,0,3684.0
388,4413,3,7316.0,88,96,114,16,318,3524.0
389,1566,4,1000.0,75,61,86,70,0,2449.0
390,4880,4,9115.0,21,70,138,61,0,5761.0
391,2944,4,3187.0,42,58,122,58,0,3645.0
392,4607,2,5542.0,88,95,42,29,0,4370.0
393,3873,1,4079.0,10,40,97,63,333,4200.0
394,4469,2,2601.0,77,88,68,26,0,4171.0
395,3046,2,6192.0,37,33,164,9,0,2995.0
396,1253,3,1000.0,71,83,152,19,110,1731.0
397,2582,1,2282.0,87,96,151,71,200,3812.0
398,3274,4,2896.0,68,31,105,25,0,3271.0
399,3396,3,1974.0,58,77,33,24,38,2351.0
400,4685,4,4299.0,54,97,81,39,0,5700.0
401,1275,3,1000.0,85,73,139,47,12,1513.0
402,2125,1,2642.0,15,91,169,61,104,2560.0
403,3569,1,6793.0,29,48,102,29,98,3299.0
404,917,1,1709.0,25,73,78,20,46,1840.0
405,614,1,1989.0,21,60,110,5,32,1287.0
406,1116,2,2355.0,61,91,11,36,0,2110.0
407,4474,3,9388.0,29,44,156,62,256,3222.0
408,3767,3,2540.0,67,58,147,50,95,2551.0
409,1325,2,1000.0,54,96,78,20,0,2133.0
410,2016,1,4127.0,11,76,130,11,124,2600.0
411,3646,1,1952.0,43,36,79,20,86,2988.0
412,912,1,1463.0,35,97,60,6,12,1600.0
413,1228,1,1000.0,42,30,70,45,119,1886.0
414,3848,2,7882.0,51,100,149,26,0,4289.0
415,3308,1,6363.0,74,51,72,23,254,3580.0
416,1175,1,2087.0,17,86,16,5,45,1380.0
417,3965,1,3480.0,74,87,96,25,129,3852.0
418,3004,2,2371.0,19,56,1,4,0,2884.0
419,3467,2,3611.0,41,67,6,10,0,3056.0
420,3286,2,6701.0,60,42,13,34,0,3229.0
421,1622,2,2860.0,66,44,3,58,0,2048.0
422,4579,4,5497.0,49,77,172,8,0,5005.0
423,2071,1,2880.0,75,44,190,52,18,1447.0
424,2643,2,2122.0,40,69,9,28,0,2861.0
425,2187,3,2900.0,72,59,44,9,65,2051.0
426,4632,2,6981.0,77,52,43,34,0,3977.0
427,4351,4,5361.0,65,38,182,59,0,4618.0
428,3940,1,4343.0,21,61,145,17,337,4634.0
429,4266,2,2153.0,40,64,10,33,0,3743.0
430,2826,1,4442.0,32,78,181,56,42,2912.0
431,3414,2,6022.0,42,74,128,61,0,3474.0
432,4452,1,9105.0,17,45,52,37,413,5059.0
433,1095,1,1000.0,71,61,95,13,103,1806.0
434,1228,2,2178.0,89,54,32,29,0,1547.0
435,1865,2,1545.0,24,66,134,40,0,1656.0
436,4992,1,9569.0,50,66,82,55,300,4999.0
437,1198,2,1109.0,61,64,24,14,0,1379.0
438,895,2,1699.0,35,74,196,8,0,1635.0
439,4671,1,7109.0,87,37,176,32,388,4761.0
440,4860,2,9386.0,21,76,73,11,0,4605.0
441,3002,3,1000.0,36,65,131,69,40,2756.0
442,2319,2,1637.0,77,39,151,50,0,2207.0
443,1217,1,1777.0,39,30,173,37,92,1605.0
444,3282,1,5672.0,13,97,197,45,128,3698.0
445,4077,2,6233.0,63,44,120,69,0,3937.0
446,643,4,1000.0,43,32,139,66,0,1211.0
447,3640,2,4036.0,77,61,189,26,0,3385.0
448,4991,1,8773.0,65,49,83,30,311,5046.0
449,3438,2,4890.0,27,85,61,38,0,3846.0
450,4136,3,6003.0,56,71,61,27,87,3187.0
451,3722,1,3165.0,81,89,75,51,275,4354.0
452,1667,4,3362.0,69,85,185,15,0,3066.0
453,3116,4,4353.0,68,76,165,62,0,3885.0
454,1562,1,2140.0,11,53,195,30,76,1304.0
455,2656,4,1731.0,82,70,144,32,0,3405.0
456,3482,1,3794.0,25,33,9,50,171,3282.0
457,3794,3,6886.0,67,80,170,7,60,2949.0
458,1656,2,1000.0,21,30,32,39,0,1528.0
459,1232,2,1892.0,14,43,36,61,0,1765.0
460,4830,2,6271.0,48,39,119,16,0,4219.0
461,1453,3,2099.0,24,65,155,37,48,1904.0
462,3039,1,2378.0,81,71,173,53,227,3649.0
463,3824,2,2538.0,28,77,108,23,0,3615.0
464,3801,1,7198.0,58,47,129,59,205,4021.0
465,2042,1,2061.0,48,89,123,28,149,2902.0
466,1691,1,1161.0,87,57,173,69,163,2514.0
467,3493,2,3366.0,24,82,165,51,0,3548.0
468,3181,1,6180.0,64,38,37,68,99,2751.0
469,1717,1,1094.0,76,53,20,11,130,1942.0
470,2040,1,3887.0,65,49,150,35,139,2583.0
471,3736,1,4977.0,54,98,160,11,21,3380.0
472,2886,2,4894.0,84,56,42,71,0,2378.0
473,4219,4,6958.0,66,69,117,17,0,4638.0
474,1888,1,2799.0,76,100,93,55,68,2186.0
475,2356,4,1318.0,15,83,67,26,0,3167.0
476,1865,3,4301.0,79,44,197,47,134,1580.0
477,999,2,1209.0,40,80,191,26,0,1697.0
478,2180,2,4255.0,31,98,63,57,0,2870.0
479,1010,3,1600.0,47,69,124,48,41,1812.0
480,4812,1,8012.0,67,98,36,26,60,4164.0
481,1824,2,1570.0,79,72,78,41,0,2245.0
482,1655,2,2946.0,38,93,103,28,0,2021.0
483,2327,2,1564.0,65,36,150,19,0,2048.0
484,3641,3,3495.0,20,31,72,1,276,2107.0
485,3986,1,3112.0,57,59,33,34,297,4371.0
486,2310,2,1789.0,69,81,106,41,0,2593.0
487,3423,2,3078.0,60,62,161,65,0,3252.0
488,2714,1,3637.0,48,38,154,4,63,2462.0
489,4686,1,8024.0,15,40,3,14,15,3180.0
490,1213,2,1846.0,39,39,80,63,0,1725.0
491,4102,3,6343.0,10,83,196,21,291,3592.0
492,4634,2,3360.0,18,49,99,64,0,3934.0
493,4022,3,5556.0,54,34,93,26,17,2896.0
494,4768,2,6894.0,17,53,62,69,0,4387.0
495,1743,1,3493.0,43,61,77,24,145,2346.0
496,4209,1,7127.0,89,60,141,10,303,4656.0
497,1581,1,2079.0,17,73,193,32,145,2176.0
498,955,1,1750.0,21,48,27,31,26,1122.0
499,1394,1,1670.0,52,53,20,15,112,1942.0
500,1884,3,2755.0,65,41,107,50,92,1519.0
501,2458,3,2742.0,40,79,86,3,134,2381.0
502,3572,1,3595.0,51,54,137,35,210,3564.0
503,2496,1,2044.0,42,80,25,54,62,2563.0
504,4785,1,7251.0,28,43,162,71,119,3951.0
505,1004,2,1283.0,64,58,33,26,0,1046.0
506,1714,1,2904.0,13,54,1,35,130,2328.0
507,2031,1,2726.0,21,88,170,28,106,2745.0
508,3940,4,2515.0,37,86,171,16,0,4262.0
509,1323,3,1816.0,67,41,171,48,105,783.0
510,1428,1,2058.0,57,79,42,69,71,1973.0
511,633,2,1000.0,10,41,51,22,0,1209.0
512,2605,1,4108.0,84,77,109,12,62,3126.0
513,4127,3,7407.0,53,79,132,58,358,2989.0
514,2352,2,3791.0,72,48,146,39,0,2720.0
515,4675,1,2959.0,47,82,122,36,263,4939.0
